zip,lat,lon
02210,42.349761,-71.03883465927944
02215,42.3453815,-71.0985214227922
02301,42.0790895,-71.04649776657257
02302,42.0864335,-70.99654142576772
02322,42.1286955,-71.04851438435162
02324,41.9703345,-70.97927200422654
02325,41.9881565,-70.96777899511706
02330,41.873935,-70.75763877194656
02332,42.042015,-70.68852938355408
02333,42.032991,-70.94288393603411
02338,41.987384500000005,-70.86097430071405
02339,42.122806499999996,-70.85004415881701
02341,42.0561165,-70.8752138274242
02343,42.143895,-71.00454289301115
02346,41.880430000000004,-70.86350584394904
02347,41.843307,-70.95527427561433
02350,42.020278000000005,-70.84776797813939
02351,42.119696000000005,-70.96645978845402
02356,42.052697,-71.13065750079727
02357,42.061719,-71.07723519173618
02359,42.0648415,-70.80434199445375
02360,41.8882485,-70.62499488203434
02364,41.9781715,-70.74269648859743
02366,41.848412999999994,-70.66132581018681
02367,41.9705735,-70.80777225901946
02368,42.169956,-71.0471005033988
02370,42.128893,-70.91383139483821
02375,42.0280325,-71.08685532806231
02379,42.0193815,-71.02199292305733
02382,42.080892,-70.944117194201
02420,42.46062,-71.22098253489347
02421,42.442721500000005,-71.2437410513104
02445,42.32208,-71.13307171225384
02446,42.343184,-71.12268648850575
02451,42.399271,-71.25809939996115
02452,42.394662,-71.21807565853658
02453,42.370031499999996,-71.24206328449554
02457,42.296324,-71.26344810615795
02458,42.354198,-71.18878688469186
02459,42.314055499999995,-71.18848076331022
02460,42.3521905,-71.21165452819952
02461,42.315336,-71.20486423047967
02462,42.331028,-71.25406408622527
02464,42.3131415,-71.2206716623264
02465,42.3504115,-71.22676717362627
02466,42.3445465,-71.24894155333057
02467,42.319132499999995,-71.1615816497456
02468,42.327737,-71.2338058404059
02472,42.372113999999996,-71.17528136314364
02474,42.4168105,-71.14741703822087
02476,42.415088499999996,-71.17323827278415
02478,42.3951445,-71.17703579324413
02481,42.312811499999995,-71.27722600124255
02482,42.2934675,-71.28456380454205
02492,42.2793395,-71.23744418147693
02493,42.357917,-71.29947485612082
02494,42.3008425,-71.23044735392803
02532,41.7555685,-70.60061980075747
02534,41.667058999999995,-70.6233265740614
02535,41.3186115,-70.77950665751239
02536,41.5997395,-70.57588824454302
02537,41.7299765,-70.42540420254946
02538,41.77508,-70.65032993333332
02539,41.384332,-70.52404677191157
